2023-12-21 00:01:06.205 INFO  --- [UserRealm.java:36][http-nio-8080-exec-6] - 本用户权限为:[systemNotice:manage, systemNotice:list, request:delete, user:list, user:add, role:update, user:update, systemNotice:delete, role:add, classMember:delete, requestClass:list, join:list, requestRegist:list, requestRegist:update, role:list, class:delete, requestClass:update, role:delete, class:update, systemNotice:add, join:update]
2023-12-21 00:01:07.549 INFO  --- [UserRealm.java:35][http-nio-8080-exec-4] - permission的值为:{"menuList":["request","role","classMember","systemNotice","join","class","user"],"roleId":1,"nickname":"1","roleName":"admin","permissionList":["systemNotice:manage","systemNotice:list","request:delete","user:list","user:add","role:update","user:update","systemNotice:delete","role:add","classMember:delete","requestClass:list","join:list","requestRegist:list","requestRegist:update","role:list","class:delete","requestClass:update","role:delete","class:update","systemNotice:add","join:update"],"userId":1,"username":"1"}
2023-12-21 00:01:07.550 INFO  --- [UserRealm.java:36][http-nio-8080-exec-4] - 本用户权限为:[systemNotice:manage, systemNotice:list, request:delete, user:list, user:add, role:update, user:update, systemNotice:delete, role:add, classMember:delete, requestClass:list, join:list, requestRegist:list, requestRegist:update, role:list, class:delete, requestClass:update, role:delete, class:update, systemNotice:add, join:update]
2023-12-21 00:02:18.369 INFO  --- [UserRealm.java:35][http-nio-8080-exec-9] - permission的值为:{"menuList":["request","role","classMember","systemNotice","join","class","user"],"roleId":1,"nickname":"1","roleName":"admin","permissionList":["systemNotice:manage","systemNotice:list","request:delete","user:list","user:add","role:update","user:update","systemNotice:delete","role:add","classMember:delete","requestClass:list","requestRegist:list","requestRegist:update","role:list","class:delete","requestClass:update","role:delete","class:update","systemNotice:add","join:update"],"userId":1,"username":"1"}
2023-12-21 00:02:18.369 INFO  --- [UserRealm.java:36][http-nio-8080-exec-9] - 本用户权限为:[systemNotice:manage, systemNotice:list, request:delete, user:list, user:add, role:update, user:update, systemNotice:delete, role:add, classMember:delete, requestClass:list, requestRegist:list, requestRegist:update, role:list, class:delete, requestClass:update, role:delete, class:update, systemNotice:add, join:update]
2023-12-21 00:02:18.370 WARN  --- [AbstractHandlerExceptionResolver.java:199][http-nio-8080-exec-9] - Resolved [org.apache.shiro.authz.UnauthorizedException: Subject does not have permission [join:list]]
2023-12-21 00:02:50.640 INFO  --- [UserRealm.java:35][http-nio-8080-exec-7] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:02:50.641 INFO  --- [UserRealm.java:36][http-nio-8080-exec-7] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:02:51.258 INFO  --- [UserRealm.java:35][http-nio-8080-exec-10] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:02:51.258 INFO  --- [UserRealm.java:36][http-nio-8080-exec-10] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:02:51.259 WARN  --- [AbstractHandlerExceptionResolver.java:199][http-nio-8080-exec-10] - Resolved [org.apache.shiro.authz.UnauthorizedException: Subject does not have permission [requestClass:list]]
2023-12-21 00:02:51.676 INFO  --- [UserRealm.java:35][http-nio-8080-exec-8] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:02:51.676 INFO  --- [UserRealm.java:36][http-nio-8080-exec-8] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:02:51.677 WARN  --- [AbstractHandlerExceptionResolver.java:199][http-nio-8080-exec-8] - Resolved [org.apache.shiro.authz.UnauthorizedException: Subject does not have permission [requestRegist:list]]
2023-12-21 00:02:52.498 INFO  --- [UserRealm.java:35][http-nio-8080-exec-4] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:02:52.500 INFO  --- [UserRealm.java:36][http-nio-8080-exec-4] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:02:52.501 INFO  --- [UserRealm.java:35][http-nio-8080-exec-4] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:02:52.501 INFO  --- [UserRealm.java:36][http-nio-8080-exec-4] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:02:52.502 INFO  --- [UserRealm.java:35][http-nio-8080-exec-4] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:02:52.502 INFO  --- [UserRealm.java:36][http-nio-8080-exec-4] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:02:52.503 WARN  --- [AbstractHandlerExceptionResolver.java:199][http-nio-8080-exec-4] - Resolved [org.apache.shiro.authz.UnauthorizedException: Subject does not have permission [user:add]]
2023-12-21 00:02:52.507 INFO  --- [UserRealm.java:35][http-nio-8080-exec-7] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:02:52.507 INFO  --- [UserRealm.java:36][http-nio-8080-exec-7] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:02:52.508 WARN  --- [AbstractHandlerExceptionResolver.java:199][http-nio-8080-exec-7] - Resolved [org.apache.shiro.authz.UnauthorizedException: Subject does not have permission [user:list]]
2023-12-21 00:02:53.106 INFO  --- [UserRealm.java:35][http-nio-8080-exec-10] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:02:53.106 INFO  --- [UserRealm.java:36][http-nio-8080-exec-10] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:02:53.113 INFO  --- [UserRealm.java:35][http-nio-8080-exec-1] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:02:53.114 INFO  --- [UserRealm.java:36][http-nio-8080-exec-1] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:02:54.507 INFO  --- [UserRealm.java:35][http-nio-8080-exec-5] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:02:54.508 INFO  --- [UserRealm.java:36][http-nio-8080-exec-5] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:03:01.227 INFO  --- [UserRealm.java:35][http-nio-8080-exec-9] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:03:01.227 INFO  --- [UserRealm.java:36][http-nio-8080-exec-9] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:03:01.228 WARN  --- [AbstractHandlerExceptionResolver.java:199][http-nio-8080-exec-9] - Resolved [org.apache.shiro.authz.UnauthorizedException: Subject does not have permission [requestClass:list]]
2023-12-21 00:03:02.052 INFO  --- [UserRealm.java:35][http-nio-8080-exec-1] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:03:02.052 INFO  --- [UserRealm.java:36][http-nio-8080-exec-1] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:03:02.053 WARN  --- [AbstractHandlerExceptionResolver.java:199][http-nio-8080-exec-1] - Resolved [org.apache.shiro.authz.UnauthorizedException: Subject does not have permission [requestRegist:list]]
2023-12-21 00:03:02.488 INFO  --- [UserRealm.java:35][http-nio-8080-exec-5] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:03:02.488 INFO  --- [UserRealm.java:36][http-nio-8080-exec-5] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:03:02.488 INFO  --- [UserRealm.java:35][http-nio-8080-exec-5] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:03:02.489 INFO  --- [UserRealm.java:36][http-nio-8080-exec-5] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:03:02.489 INFO  --- [UserRealm.java:35][http-nio-8080-exec-5] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:03:02.489 INFO  --- [UserRealm.java:36][http-nio-8080-exec-5] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:03:02.490 WARN  --- [AbstractHandlerExceptionResolver.java:199][http-nio-8080-exec-5] - Resolved [org.apache.shiro.authz.UnauthorizedException: Subject does not have permission [user:add]]
2023-12-21 00:03:02.494 INFO  --- [UserRealm.java:35][http-nio-8080-exec-6] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:03:02.494 INFO  --- [UserRealm.java:36][http-nio-8080-exec-6] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:03:02.495 WARN  --- [AbstractHandlerExceptionResolver.java:199][http-nio-8080-exec-6] - Resolved [org.apache.shiro.authz.UnauthorizedException: Subject does not have permission [user:list]]
2023-12-21 00:03:03.029 INFO  --- [UserRealm.java:35][http-nio-8080-exec-9] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:03:03.030 INFO  --- [UserRealm.java:36][http-nio-8080-exec-9] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:03:03.039 INFO  --- [UserRealm.java:35][http-nio-8080-exec-3] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:03:03.040 INFO  --- [UserRealm.java:36][http-nio-8080-exec-3] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:03:04.094 INFO  --- [UserRealm.java:35][http-nio-8080-exec-2] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:03:04.095 INFO  --- [UserRealm.java:36][http-nio-8080-exec-2] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:03:05.209 INFO  --- [UserRealm.java:35][http-nio-8080-exec-3] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:03:05.210 INFO  --- [UserRealm.java:36][http-nio-8080-exec-3] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:03:07.833 INFO  --- [UserRealm.java:35][http-nio-8080-exec-4] - permission的值为:{"menuList":["systemNotice","join","classNotice","message"],"roleId":2,"nickname":"2","roleName":"parents","permissionList":["systemNotice:list","message:delete","message:add","message:update","message:list","classNotice:list","join:update"],"userId":7,"username":"2"}
2023-12-21 00:03:07.833 INFO  --- [UserRealm.java:36][http-nio-8080-exec-4] - 本用户权限为:[systemNotice:list, message:delete, message:add, message:update, message:list, classNotice:list, join:update]
2023-12-21 00:03:07.834 WARN  --- [AbstractHandlerExceptionResolver.java:199][http-nio-8080-exec-4] - Resolved [org.apache.shiro.authz.UnauthorizedException: Subject does not have permission [join:list]]
2023-12-21 00:03:51.826 INFO  --- [UserRealm.java:35][http-nio-8080-exec-5] - permission的值为:{"menuList":["classMember","systemNotice","join","classNotice","message","login","class"],"roleId":3,"nickname":"33333","roleName":"teacher","permissionList":["systemNotice:list","message:add","login:logout","classNotice:delete","requestClass:add","classMember:delete","login:getInfo","classNotice:add","join:list","message:delete","message:update","class:delete","login:auth","class:update","message:list","classNotice:list","join:update"],"userId":8,"username":"3"}
2023-12-21 00:03:51.827 INFO  --- [UserRealm.java:36][http-nio-8080-exec-5] - 本用户权限为:[systemNotice:list, message:add, login:logout, classNotice:delete, requestClass:add, classMember:delete, login:getInfo, classNotice:add, join:list, message:delete, message:update, class:delete, login:auth, class:update, message:list, classNotice:list, join:update]
2023-12-21 00:03:53.770 INFO  --- [UserRealm.java:35][http-nio-8080-exec-2] - permission的值为:{"menuList":["classMember","systemNotice","join","classNotice","message","login","class"],"roleId":3,"nickname":"33333","roleName":"teacher","permissionList":["systemNotice:list","message:add","login:logout","classNotice:delete","requestClass:add","classMember:delete","login:getInfo","classNotice:add","join:list","message:delete","message:update","class:delete","login:auth","class:update","message:list","classNotice:list","join:update"],"userId":8,"username":"3"}
